city,lat,long,max_temp,humidity,cloudiness,wind_spd,country,date
Sudak,44.85,34.97,289.31,81,24,2.43,UA,1604034143
Umluj,25.02,37.27,302.4,21,0,0.77,SA,1604034143
Ransang,8.96,117.58,303.04,68,90,4.5,PH,1604034143
Hasaki,35.73,140.83,290.37,55,75,2.1,JP,1604034144
Dunedin,-45.87,170.5,289.26,79,100,1.34,NZ,1604033975
Tigil',57.8,158.67,274.65,96,99,2.06,RU,1604034144
Pavino,59.11,46.14,272.98,96,1,3.2,RU,1604034144
Jatai,-17.88,-51.71,294.1,91,100,0.55,BR,1604034144
Tondi,9.73,79.02,303.21,52,57,4.43,IN,1604034144
Iskateley,67.68,53.15,277.22,91,100,7.46,RU,1604034145
Makokou,0.57,12.86,293.01,91,100,0.25,GA,1604034145
Plettenberg Bay,-34.05,23.37,286.58,60,80,2.92,ZA,1604034145
Canoinhas,-26.18,-50.39,288.03,97,100,2.08,BR,1604034145
Umm Kaddadah,13.6,26.69,299.38,26,3,7.88,SD,1604034146
Huarmey,-10.07,-78.15,290.25,87,90,4.85,PE,1604034146
Aswān,24.09,32.91,298.15,21,0,2.9,EG,1604034146
Varna,43.22,27.92,284.82,100,75,2.92,BG,1604034146
Coruripe,-10.13,-36.18,297.69,86,86,5.9,BR,1604034146
Suruç,36.98,38.42,292.15,32,0,1.5,TR,1604034147
Omsukchan,62.53,155.8,262.95,92,90,0.41,RU,1604034147
Gorin,51.2,136.67,278.17,67,93,2.09,RU,1604034147
Pasni,25.26,63.47,298.97,29,0,4.82,PK,1604034147
Puerto Quijarro,-17.78,-57.77,297.19,71,100,2.95,BO,1604034148
Vanimo,-2.67,141.3,298.77,83,100,1.49,PG,1604034067
Andenes,69.31,16.12,275.15,69,99,4.1,NO,1604034148
Tottori-shi,35.5,134.23,289.15,51,75,8.2,JP,1604034055
Padang,-0.95,100.35,303.19,62,67,2.5,ID,1604034019
Palauig,15.44,119.9,302.36,72,5,2.46,PH,1604034149
Punta Umbría,37.18,-6.97,287.04,63,0,0.45,ES,1604034149
Innisfail,-17.53,146.03,302.04,44,0,1.79,AU,1604034149
Ambovombe,-25.17,46.08,296.52,61,0,5.71,MG,1604034150
Narasapuram,16.45,81.67,303.62,54,85,1.54,IN,1604034150
Nizhneangarsk,55.78,109.55,273.09,86,98,1.07,RU,1604034150
eMkhomazi,-30.21,30.8,294.26,84,71,4.92,ZA,1604034150
Kismayo,-0.36,42.55,300.64,71,52,2.38,SO,1604034151
Mount Isa,-20.73,139.5,310.15,6,0,5.1,AU,1604033898
Tulum,20.22,-87.47,297.28,95,9,2.49,MX,1604033944
Clovis,36.83,-119.7,292.15,29,1,1.34,US,1604033917
Salekhard,66.53,66.6,274.75,95,99,6.05,RU,1604034151
Yurimaguas,-5.9,-76.08,296.75,95,99,0.36,PE,1604034152
Bonavista,48.65,-53.11,275.37,85,17,3.13,CA,1604034152
Bilibino,68.05,166.44,256.19,82,79,0.78,RU,1604034152
Mahon,39.89,4.27,288.15,93,0,2.1,ES,1604034152
Upington,-28.45,21.26,288.15,47,0,3.1,ZA,1604034152
Saint George,37.1,-113.58,288.15,19,1,1.54,US,1604034043
Banda Aceh,5.56,95.32,303.5,59,83,4.0,ID,1604034153
Marsh Harbour,26.54,-77.06,300.32,82,0,6.08,BS,1604034153
Naze,28.37,129.48,298.15,53,40,6.7,JP,1604034153
Bengkulu,-3.8,102.27,299.97,78,96,1.71,ID,1604034153
Sakakah,29.97,40.21,289.15,18,0,0.46,SA,1604034154
Cayenne,4.93,-52.33,298.15,100,40,1.0,GF,1604034154
Qaqortoq,60.72,-46.03,272.15,86,87,1.5,GL,1604034154
Shiraz,29.6,52.54,285.15,25,0,1.12,IR,1604034154
Berlevåg,70.86,29.09,275.15,80,40,9.8,NO,1604034154
Kholmogory,64.22,41.66,281.15,87,20,3.0,RU,1604034155
Córdoba,-31.41,-64.18,287.04,43,0,2.6,AR,1604034027
Sola,-13.88,167.55,300.53,79,24,6.63,VU,1604034155
Burns Lake,54.23,-125.75,274.56,93,100,1.21,CA,1604034003
Auki,-8.77,160.7,297.97,90,100,0.47,SB,1604034156
Lagoa,39.05,-27.98,292.51,87,68,5.26,PT,1604034156
Conde,-7.26,-34.91,297.15,88,20,1.5,BR,1604034156
Sur,22.57,59.53,300.74,49,0,4.39,OM,1604034156
Khorramshahr,30.44,48.17,288.15,58,0,1.0,IR,1604034157
Bagdarin,54.43,113.6,272.63,88,100,0.65,RU,1604034157
Namtsy,62.72,129.67,255.15,77,0,1.0,RU,1604034157
Karratha,-20.74,116.85,305.3,39,71,7.94,AU,1604034157
Leh,34.17,77.58,273.83,63,18,2.03,IN,1604034158
Ketchikan,55.34,-131.65,279.15,80,90,3.6,US,1604034080
Ginir,7.13,40.7,290.26,74,9,0.12,ET,1604034158
Umm Hājar,13.3,19.7,300.97,24,27,3.81,TD,1604034158
Ust'-Koksa,50.27,85.61,270.91,87,100,2.49,RU,1604034158
Lerwick,60.15,-1.15,284.15,100,100,5.1,GB,1604034159
Qasigiannguit,68.82,-51.19,264.15,72,95,2.6,GL,1604034159
Villa Bruzual,9.33,-69.12,296.4,93,27,1.78,VE,1604034159
Bétaré Oya,5.6,14.08,291.72,96,90,0.61,CM,1604034159
Bonthe,7.53,-12.51,298.38,85,36,1.45,SL,1604034159
Erzin,36.96,36.2,288.15,93,40,0.5,TR,1604034159
Amapá,1.0,-52.0,295.99,90,4,1.46,BR,1604034160
Juneau,58.3,-134.42,275.15,100,90,1.31,US,1604033880
Grand Gaube,-20.01,57.66,297.04,52,0,4.92,MU,1604034160
Bintulu,3.17,113.03,306.15,66,20,3.6,MY,1604034160
